candidate_id,rank,score,reasoning
CAND_0077337,1,444.6361,"Senior AI Engineering candidate with 7.0 years of experience, currently working as a Staff Machine Learning Engineer at Paytm. Demonstrates strong hands-on capability in Semantic Search, QLoRA, pgvector, Pinecone; based in Kochi, Kerala with 60 days notice period."
CAND_0011687,2,436.4815,"Senior AI Engineering candidate with 7.8 years of experience, currently working as a Senior NLP Engineer at Niramai. Demonstrates strong hands-on capability in TensorFlow, OpenSearch, FAISS, PEFT; based in Indore, Madhya Pradesh with 15 days notice period."
CAND_0002025,3,423.2584,"Senior AI Engineering candidate with 5.9 years of experience, currently working as a Senior AI Engineer at Apple. Demonstrates strong hands-on capability in FAISS, TensorFlow, OpenSearch, Weaviate; based in Trivandrum, Kerala with 30 days notice period."
CAND_0081846,4,421.7245,"Senior AI Engineering candidate with 6.7 years of experience, currently working as a Lead AI Engineer at Razorpay. Demonstrates strong hands-on capability in Information Retrieval, LlamaIndex, pgvector, Learning to Rank; based in Jaipur, Rajasthan with 30 days notice period."
CAND_0046525,5,415.1498,"Senior AI Engineering candidate with 6.1 years of experience, currently working as a Senior Machine Learning Engineer at Genpact AI. Demonstrates strong hands-on capability in Elasticsearch, LangChain, LlamaIndex, Information Retrieval; based in Pune, Maharashtra with 60 days notice period."
CAND_0018499,6,409.9054,"Senior AI Engineering candidate with 7.2 years of experience, currently working as a Senior Machine Learning Engineer at Zomato. Demonstrates strong hands-on capability in Weaviate, Pinecone, Information Retrieval, Milvus; based in Noida, Uttar Pradesh with 15 days notice period."
CAND_0086022,7,407.9183,"Senior AI Engineering candidate with 5.3 years of experience, currently working as a Senior Applied Scientist at Sarvam AI. Demonstrates strong hands-on capability in pgvector, Elasticsearch, QLoRA, Pinecone; based in Kolkata, West Bengal with 0 days notice period."
CAND_0068351,8,406.2437,"Senior AI Engineering candidate with 6.4 years of experience, currently working as a Lead AI Engineer at Sarvam AI. Demonstrates strong hands-on capability in pgvector, Qdrant, Elasticsearch, PEFT; based in Delhi, Delhi with 0 days notice period."
CAND_0080766,9,403.4313,"Senior AI Engineering candidate with 8.8 years of experience, currently working as a Staff Machine Learning Engineer at Salesforce. Demonstrates strong hands-on capability in Search Backend, LoRA, Search & Discovery, Search Infrastructure; based in Coimbatore, Tamil Nadu with 0 days notice period."
CAND_0008425,10,402.5606,"Senior AI Engineering candidate with 7.8 years of experience, currently working as a Senior NLP Engineer at Ola. Demonstrates strong hands-on capability in Learning to Rank, Qdrant, pgvector, Sentence Transformers; based in Kolkata, West Bengal with 90 days notice period. Note: notice period is longer (90 days) but technical alignment is strong."
